18:06:43.673226 mmap(NULL, 1440984, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 29, 0) = 0x7f4ee2a02000
18:06:43.673550 mmap(0x7f4ee2a5d000, 643072, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 29, 0x5b000) = 0x7f4ee2a5d000
18:06:43.673647 mmap(0x7f4ee2afa000, 303104, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 29, 0xf8000) = 0x7f4ee2afa000
18:06:43.673704 mmap(0x7f4ee2b45000, 118784, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 29, 0x142000) = 0x7f4ee2b45000
18:06:43.739626 mmap(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7f4f14248000
18:06:43.785160 mmap(NULL, 3514704, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 29, 0) = 0x7f4ee26a7000
18:06:43.785400 mmap(0x7f4ee270d000, 2396160, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 29, 0x66000) = 0x7f4ee270d000
18:06:43.785537 mmap(0x7f4ee2956000, 598016, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 29, 0x2af000) = 0x7f4ee2956000
18:06:43.785649 mmap(0x7f4ee29e8000, 98304, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 29, 0x340000) = 0x7f4ee29e8000
18:06:43.792493 mmap(0x7f4ee2a00000, 4432, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f4ee2a00000
18:06:44.009068 mmap(NULL, 757076, PROT_READ, MAP_SHARED, 29, 0) = 0x7f4ee25ee000
18:06:47.724211 mmap(NULL, 1740, PROT_READ, MAP_SHARED, 29, 0) = 0x7f4f14247000
18:06:51.378666 mmap(NULL, 389764, PROT_READ, MAP_PRIVATE, 29, 0) = 0x7f4ee258e000
18:06:51.746798 mmap(NULL, 156000, PROT_READ, MAP_SHARED, 29, 0) = 0x7f4f14221000
18:06:51.927283 mmap(NULL, 20176, PROT_READ, MAP_SHARED, 29, 0) = 0x7f4f1421c000
18:07:18.058780 mmap(NULL, 233088, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 33, 0) = 0x7f4ee2555000
18:07:18.059448 mmap(0x7f4ee255e000, 151552, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 33, 0x9000) = 0x7f4ee255e000
18:07:18.059641 mmap(0x7f4ee2583000, 32768, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 33, 0x2e000) = 0x7f4ee2583000
18:07:18.059712 mmap(0x7f4ee258c000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 33, 0x36000) = 0x7f4ee258c000
18:08:18.115248 mmap(NULL, 200882, PROT_READ, MAP_PRIVATE, 37, 0) = 0x7f4f0622a000
18:08:18.116214 mmap(NULL, 1, PROT_READ, MAP_SHARED, 37, 0) = 0x7f4f1421b000
18:08:18.116484 mmap(NULL, 15646, PROT_READ, MAP_PRIVATE, 37, 0) = 0x7f4f14217000
18:08:18.379458 mmap(NULL, 8392704, PROT_NONE, MAP_PRIVATE|MAP_ANONYMOUS|MAP_STACK, -1, 0) = 0x7f4ee1d54000
18:08:18.380050 mmap(NULL, 8392704, PROT_NONE, MAP_PRIVATE|MAP_ANONYMOUS|MAP_STACK, -1, 0) = 0x7f4ee1553000
18:08:18.535447 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.535842 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.536127 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.537819 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.538111 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.556682 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.557010 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.557275 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.557526 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.557751 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.559073 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.559405 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.559629 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.559868 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.560130 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.596839 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.597255 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.597492 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.597737 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.597953 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.599178 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.599486 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
18:08:18.599709 mmap(NULL, 2088, PROT_READ, MAP_PRIVATE, 38, 0) = 0x7f4f14216000
